,training_error,full_test_error
0,14.070000000000004,54.87
1,9.48,59.88
2,9.163333333333334,62.8
3,8.931666666666672,64.86000000000001
4,8.818333333333328,66.64
5,8.651666666666669,68.32000000000001
6,8.604999999999997,69.45
7,8.540000000000003,70.36
8,8.523333333333339,71.12
9,8.481666666666666,71.85000000000001
10,8.440000000000003,72.41
11,8.375,72.89
12,8.34666666666667,73.28
13,8.313333333333329,73.47
14,8.289999999999997,73.74000000000001
15,8.255,73.89
16,8.241666666666669,74.00999999999999
17,8.231666666666671,74.1
18,8.216666666666672,74.19
19,8.201666666666663,74.32000000000001
20,8.181666666666665,74.48
21,8.151666666666667,74.49
22,8.125000000000004,74.62
23,8.130000000000004,74.72
24,8.140000000000002,74.82
25,8.116666666666672,74.88
26,8.09833333333333,75.05
27,8.081666666666665,75.13
28,8.079999999999998,75.21
29,8.07,75.32
30,8.061666666666667,75.41
31,8.05,75.5
32,8.056666666666668,75.53999999999999
33,8.051666666666668,75.62
34,8.048333333333336,75.69
35,8.038333333333336,75.83
36,8.033333333333337,75.9
37,8.023333333333337,75.94
38,8.013333333333328,75.97
39,8.003333333333329,76.03999999999999
40,7.989999999999997,76.09
41,7.986666666666665,76.15
42,7.988333333333331,76.19
43,7.984999999999998,76.27
44,7.991666666666664,76.32
45,7.986666666666665,76.42999999999999
46,7.9949999999999966,76.5
47,7.9949999999999966,76.59
48,7.9933333333333305,76.63
49,7.984999999999998,76.71
50,7.991666666666664,76.77000000000001
51,7.981666666666665,76.85
52,7.981666666666665,76.94
53,7.979999999999999,77.0
54,7.973333333333333,77.08
55,7.973333333333333,77.13
56,7.965,77.17
57,7.966666666666667,77.23
58,7.974999999999999,77.27
59,7.965,77.3
